kind,title,option/0,option/1,option/2,option/3,star,imgurl,price,guest,roomInfo/0,roomInfo/1,roomInfo/2
로프트 전체,"""SEOUL Station"" Cozy&Relax place",무선 인터넷,에어컨,주방,난방,4.9,https://a0.muscache.com/im/pictures/a9a8bd45-33cd-49af-898a-081f901a098f.jpg?aki_policy=large,290000,4,원룸,침대 2개,욕실 1개
타운하우스 전체,Mapo basecamp,무선 인터넷,에어컨,주방,난방,4.79,https://a0.muscache.com/im/pictures/69f94036-467f-4206-bd4f-a6259448cf50.jpg?aki_policy=large,240000,2,침실 1개,침대 1개,욕실 1개
아파트 전체,KOO House Seoul/Hongdae/Yeouido,무선 인터넷,에어컨,주방,난방,4.69,https://a0.muscache.com/im/pictures/c448d8f3-3c31-4119-b69f-80f251621f94.jpg?aki_policy=large,250000,3,침실 1개,침대 1개,욕실 1개
아파트 전체,LA VIE EN ROSE / Myeong-dong,무선 인터넷,에어컨,주방,난방,4.92,https://a0.muscache.com/im/pictures/b31c28c6-8c43-4f3e-9cd4-c7f1b42c438c.jpg?aki_policy=large,210000,3,침실 1개,침대 2개,욕실 1개
집 전체,★ Myeong Dong ♥ Portable Wifi #1 ★,무선 인터넷,에어컨,주방,난방,4.8,https://a0.muscache.com/im/pictures/85478039/fa28c4f5_original.jpg?aki_policy=large,230000,3,침실 1개,침대 2개,욕실 1개
아파트 전체,"house-★Open a Bargain Sale★ 1min(subway,bus)",무선 인터넷,에어컨,주방,난방,4.68,https://a0.muscache.com/im/pictures/3928a460-8247-4ba2-a97c-bd07754744c2.jpg?aki_policy=large,60000,2,침실 1개,침대 1개,욕실 1개
주택의 개인실,1 minute HyochangPark station line6,무선 인터넷,주방,난방,,4.88,https://a0.muscache.com/im/pictures/4c800ec6-099a-48e7-9f43-5d66c0ec3e95.jpg?aki_policy=large,50000,1,침실 1개,침대 1개,공동 사용 욕실 1개
로프트 전체,[Myeongdong] Jongno Hans' house 1(Luggage Storage),무선 인터넷,에어컨,주방,난방,4.58,https://a0.muscache.com/im/pictures/a54b48f1-00f7-42ba-9754-45c9d1362caf.jpg?aki_policy=large,100000,5,침실 1개,침대 4개,욕실 1개
주택의 개인실,Calm and Friendly Mary House's White Room in seoul,무선 인터넷,에어컨,주방,난방,4.9,https://a0.muscache.com/im/pictures/4f059fe6-accb-4394-be52-8e84fad167d6.jpg?aki_policy=large,150000,2,침실 1개,침대 1개,공동 사용 욕실 1개
아파트 전체,KOO House/River view/Seoul/Hongdae/Itaewon/Yeouido,무선 인터넷,에어컨,주방,난방,4.66,https://a0.muscache.com/im/pictures/348bc6ea-3fc7-4cf8-b9f6-5df7c56e93e7.jpg?aki_policy=large,160000,4,침실 1개,침대 2개,욕실 1개
로프트 전체,中文咨询 [3] Center of Myeongdong&Hongdae,무선 인터넷,에어컨,주방,난방,4.64,https://a0.muscache.com/im/pictures/104800600/e66fcd8c_original.jpg?aki_policy=large,50000,5,원룸,침대 2개,욕실 1개
로프트 전체,Private terrace! 3mins from AREX station.,무선 인터넷,에어컨,주방,난방,4.88,https://a0.muscache.com/im/pictures/46cc4b6d-4fe9-4bce-8762-d0c33f1486c8.jpg?aki_policy=large,200000,2,침실 1개,침대 1개,욕실 1개
